Topic ID,From Year,To Year,Docs (From),Docs (To),Topic Name (From),Topic Name (To),Added Words,Removed Words,Drift Score (0 stable → 1 changed)
0,2017,2019,3,4,assault frame object aggravated assault key frame aggravated video key,cise surveillance poppy maritime backbone uav person reidentification,"cise, surveillance, poppy, maritime, backbone, uav, person, reidentification","assault, frame, object, aggravated assault, key frame, aggravated, video, key",1.0
0,2022,2023,7,4,video normal anomaly efficientdet surveillance dataset frame robbery,database question module answer proposal question answer suspicious human realtime,"database, question, module, answer, proposal, question answer, suspicious human, realtime","video, normal, anomaly, efficientdet, surveillance, dataset, frame, robbery",1.0
0,2023,2024,4,9,database question module answer proposal question answer suspicious human realtime,video surveillance activity cctv action carrying event suspicious,"video, surveillance, activity, cctv, action, carrying, event, suspicious","database, question, module, answer, proposal, question answer, suspicious human, realtime",1.0
1,2015,2017,3,4,disorder community neighborhood ilc local community investment local private,urban city public safety safety public crime shanghai path,"urban, city, public safety, safety, public, crime, shanghai, path","disorder, community, neighborhood, ilc, local community, investment, local, private",1.0
2,2018,2019,3,3,sexual source code sexual assault assault code source sarc user,text deep fake abstract term abstract crike caselaw caselaw decision legal abstract,"text, deep fake, abstract term, abstract, crike, caselaw, caselaw decision, legal abstract","sexual, source code, sexual assault, assault, code, source, sarc, user",1.0
1,2017,2020,4,4,urban city public safety safety public crime shanghai path,nonmotorized uber commuting association preterm firearm violence trip nonmotorized commuting,"nonmotorized, uber, commuting, association, preterm, firearm violence, trip, nonmotorized commuting","urban, city, public safety, safety, public, crime, shanghai, path",1.0
1,2020,2022,4,5,nonmotorized uber commuting association preterm firearm violence trip nonmotorized commuting,crime occurrence accident street crime street crime rate occurrence time saudi,"crime, occurrence, accident, street crime, street, crime rate, occurrence time, saudi","nonmotorized, uber, commuting, association, preterm, firearm violence, trip, nonmotorized commuting",1.0
1,2022,2023,5,6,crime occurrence accident street crime street crime rate occurrence time saudi,safety urban rhpmf resident population resident employee estate visitor,"safety, urban, rhpmf, resident, population, resident employee, estate, visitor","crime, occurrence, accident, street crime, street, crime rate, occurrence time, saudi",1.0
1,2024,2025,3,3,segregation urban commercial neighborhood city police multidensity police resource,barrier safety privacy sense naturalness preference perception park,"barrier, safety, privacy, sense, naturalness, preference, perception, park","segregation, urban, commercial, neighborhood, city, police, multidensity, police resource",1.0
2,2022,2023,8,5,bill lobbying sermon deepfakes hate speech hate datafication lobbied,law war legal international would criminal author ihl,"law, war, legal, international, would, criminal, author, ihl","bill, lobbying, sermon, deepfakes, hate speech, hate, datafication, lobbied",1.0
2,2021,2022,5,8,secrecy trade law digital technology trade secrecy claim secret,bill lobbying sermon deepfakes hate speech hate datafication lobbied,"bill, lobbying, sermon, deepfakes, hate speech, hate, datafication, lobbied","secrecy, trade, law, digital, technology, trade secrecy, claim, secret",1.0
2,2020,2021,3,5,organised organised crime user text term rating prison term workshop,secrecy trade law digital technology trade secrecy claim secret,"secrecy, trade, law, digital, technology, trade secrecy, claim, secret","organised, organised crime, user, text, term, rating, prison term, workshop",1.0
7,2022,2024,3,4,cloud accounting storage cloud storage cloud database accounting information modified forensic data,process business business process vehicle forensic discord bluesky invehicle,"process, business, business process, vehicle, forensic, discord, bluesky, invehicle","cloud, accounting, storage, cloud storage, cloud database, accounting information, modified, forensic data",1.0
8,2022,2023,5,4,discounting substance psychiatric sociomoral adhd version group delay discounting,youth response coalition individual idu disagreement yvp romantic,"youth, response, coalition, individual, idu, disagreement, yvp, romantic","discounting, substance, psychiatric, sociomoral, adhd, version, group, delay discounting",1.0
11,2023,2025,6,3,speech audio proposed spectrogram speech signal espec signal steganography,speaker coding speaker verification gsm coding enrollment gsm eer verification,"speaker, coding, speaker verification, gsm coding, enrollment, gsm, eer, verification","speech, audio, proposed, spectrogram, speech signal, espec, signal, steganography",1.0
2,2024,2025,5,3,construction criminal data journalism professional journalism negligence accent rbi,defendant court chinese obi pragmatic profiling speech sociolinguistic profiling,"defendant, court, chinese, obi, pragmatic, profiling, speech, sociolinguistic profiling","construction, criminal, data journalism, professional, journalism, negligence, accent, rbi",1.0
3,2019,2020,3,5,detector median median filtering domain object detection object filtering mmd,image compression manipulation classifier network triple double double triple,"image, compression, manipulation, classifier, network, triple, double, double triple","detector, median, median filtering, domain, object detection, object, filtering, mmd",1.0
3,2018,2019,4,3,cnn image inpainting manipulation forensics inpainting forensics convolutional general purpose,detector median median filtering domain object detection object filtering mmd,"detector, median, median filtering, domain, object detection, object, filtering, mmd","cnn, image, inpainting, manipulation, forensics, inpainting forensics, convolutional, general purpose",1.0
4,2022,2023,3,6,deepfake deepfake detection dfdt frame video trace noise trace forensic noise,face mask scheme manipulation image face image fimd fimd scheme,"face, mask, scheme, manipulation, image, face image, fimd, fimd scheme","deepfake, deepfake detection, dfdt, frame, video, trace, noise trace, forensic noise",1.0
4,2024,2025,4,6,image lrfr architecture face synthetic image synthetic lowresolution face recognition,augmentation fscore model trained frame domain distortion facial content,"augmentation, fscore, model trained, frame, domain, distortion, facial, content","image, lrfr, architecture, face, synthetic image, synthetic, lowresolution, face recognition",1.0
6,2022,2023,5,3,bone circrnas computed tomography computed tomography rifnet rib fracture,age dongxiang specie individual dongxiang group genetic biogeographic biogeographic origin,"age, dongxiang, specie, individual, dongxiang group, genetic, biogeographic, biogeographic origin","bone, circrnas, computed, tomography, computed tomography, rifnet, rib, fracture",1.0
7,2015,2016,3,3,privacy bitmap index bitmap internet traffic index internet splwah searching,cloud log cloud log location data location clf transformation scheme,"cloud log, cloud, log, location data, location, clf, transformation, scheme","privacy, bitmap index, bitmap, internet traffic, index, internet, splwah, searching",1.0
5,2023,2024,4,3,microgrid ddos ddos detection ddqn usmd device traffic nsm,iot security asrl flood attack cyberphysical security cyberphysical flood attack,"iot, security, asrl, flood attack, cyberphysical security, cyberphysical, flood, attack","microgrid, ddos, ddos detection, ddqn, usmd, device, traffic, nsm",1.0
10,2022,2024,4,5,lip quality print lip print iris latent latent fingerprint individual,fingerprint layer fingerprint image infrared encoder image edunet decoder,"fingerprint, layer, fingerprint image, infrared, encoder, image, edunet, decoder","lip, quality, print, lip print, iris, latent, latent fingerprint, individual",1.0
1,2023,2024,6,3,safety urban rhpmf resident population resident employee estate visitor,segregation urban commercial neighborhood city police multidensity police resource,"segregation, commercial, neighborhood, city, police, multidensity, police resource","safety, rhpmf, resident, population, resident employee, estate, visitor",0.933
0,2024,2025,9,9,video surveillance activity cctv action carrying event suspicious,video anomaly video anomaly proposed computer vision anomaly detection enhancement vision,"anomaly, video anomaly, proposed, computer vision, anomaly detection, enhancement, vision","surveillance, activity, cctv, action, carrying, event, suspicious",0.933
0,2019,2022,4,7,cise surveillance poppy maritime backbone uav person reidentification,video normal anomaly efficientdet surveillance dataset frame robbery,"video, normal, anomaly, efficientdet, dataset, frame, robbery","cise, poppy, maritime, backbone, uav, person, reidentification",0.933
2,2023,2024,5,5,law war legal international would criminal author ihl,construction criminal data journalism professional journalism negligence accent rbi,"construction, data journalism, professional, journalism, negligence, accent, rbi","law, war, legal, international, would, author, ihl",0.933
17,2024,2025,3,5,skin microbial pmi infection hand antibiotic hand infection pmi estimation,skin forensic microbiome bacterial insect heroin skin microbiome sequencing,"forensic, microbiome, bacterial, insect, heroin, skin microbiome, sequencing","microbial, pmi, infection, hand, antibiotic, hand infection, pmi estimation",0.933
7,2016,2022,3,3,cloud log cloud log location data location clf transformation scheme,cloud accounting storage cloud storage cloud database accounting information modified forensic data,"accounting, storage, cloud storage, cloud database, accounting information, modified, forensic data","cloud log, log, location data, location, clf, transformation, scheme",0.933
3,2022,2023,5,6,image recaptured median filtering median image recaptured recaptured image filtering compressed image,image forgery proposed network layer similarity metric detecting similarity,"forgery, proposed, network, layer, similarity metric, detecting, similarity","recaptured, median filtering, median, image recaptured, recaptured image, filtering, compressed image",0.933
4,2021,2022,4,3,face face video face recognition area lfrp recognition video face area,deepfake deepfake detection dfdt frame video trace noise trace forensic noise,"deepfake, deepfake detection, dfdt, frame, trace, noise trace, forensic noise","face, face video, face recognition, area, lfrp, recognition, face area",0.933
3,2021,2022,5,5,image tampering jpeg image tampering localization djpeg antiforensics casia,image recaptured median filtering median image recaptured recaptured image filtering compressed image,"recaptured, median filtering, median, image recaptured, recaptured image, filtering, compressed image","tampering, jpeg, image tampering, localization, djpeg, antiforensics, casia",0.933
3,2020,2021,5,5,image compression manipulation classifier network triple double double triple,image tampering jpeg image tampering localization djpeg antiforensics casia,"tampering, jpeg, image tampering, localization, djpeg, antiforensics, casia","compression, manipulation, classifier, network, triple, double, double triple",0.933
2,2019,2020,3,3,text deep fake abstract term abstract crike caselaw caselaw decision legal abstract,organised organised crime user text term rating prison term workshop,"organised, organised crime, user, term, rating, prison term, workshop","deep fake, abstract term, abstract, crike, caselaw, caselaw decision, legal abstract",0.933
5,2022,2023,4,4,iot device attack iot device blockchain cuiot security forensics iot network,microgrid ddos ddos detection ddqn usmd device traffic nsm,"microgrid, ddos, ddos detection, ddqn, usmd, traffic, nsm","iot, attack, iot device, blockchain, cuiot, security forensics, iot network",0.933
9,2021,2025,4,6,source pfas source tracking route pfas source sample saliva tracking,myocardial chemical body fluid body fluid sympathetic vantaa sample,"myocardial, chemical, body fluid, body, fluid, sympathetic, vantaa","source, pfas, source tracking, route, pfas source, saliva, tracking",0.933
6,2023,2025,3,7,age dongxiang specie individual dongxiang group genetic biogeographic biogeographic origin,estimation morphological age tree gradient gradient boosting boosting forensic,"estimation, morphological, tree, gradient, gradient boosting, boosting, forensic","dongxiang, specie, individual, dongxiang group, genetic, biogeographic, biogeographic origin",0.933
5,2024,2025,3,5,iot security asrl flood attack cyberphysical security cyberphysical flood attack,attack voltage adversarial adversarial attack voltage regulation regulation vehicle allocation,"voltage, adversarial, adversarial attack, voltage regulation, regulation, vehicle, allocation","iot, security, asrl, flood attack, cyberphysical security, cyberphysical, flood",0.933
3,2023,2025,6,7,image forgery proposed network layer similarity metric detecting similarity,image forgery localization image forgery forgery localization pixel copymove patch,"localization, image forgery, forgery localization, pixel, copymove, patch","proposed, network, layer, similarity metric, detecting, similarity",0.857
4,2023,2024,6,4,face mask scheme manipulation image face image fimd fimd scheme,image lrfr architecture face synthetic image synthetic lowresolution face recognition,"lrfr, architecture, synthetic image, synthetic, lowresolution, face recognition","mask, scheme, manipulation, face image, fimd, fimd scheme",0.857
5,2020,2022,5,4,attack device defense resource ddos ddos attack iot ipv,iot device attack iot device blockchain cuiot security forensics iot network,"iot device, blockchain, cuiot, security forensics, iot network","defense, resource, ddos, ddos attack, ipv",0.769
10,2018,2022,3,4,lip lip print print identification iris examiner furrow face identification,lip quality print lip print iris latent latent fingerprint individual,"quality, latent, latent fingerprint, individual","identification, examiner, furrow, face identification",0.667
14,2020,2024,4,3,image video channel tampering model identification camera model camera many,video source camera camera camera model source model identification color correction correction feature,"source camera, source, color correction, correction feature","image, channel, tampering, many",0.667
